product_author,product_imagelink,product_name,product_price
Mo Willems,"https://images-na.ssl-images-amazon.com/images/I/81%2BCTu%2BrfQL._AC_UL200_SR200,200_.jpg","
            The Pigeon HAS to Go to School!
        ",$10.40
Lisa Taddeo,"https://images-na.ssl-images-amazon.com/images/I/610ykEtQ6QL._AC_UL200_SR200,200_.jpg","
            Three Women
        ",$16.20
Elin Hilderbrand,"https://images-na.ssl-images-amazon.com/images/I/51uMqiWGOwL._AC_UL200_SR200,200_.jpg","
            Summer of '69
        ",$16.80
Linda Holmes,"https://images-na.ssl-images-amazon.com/images/I/91Q73aHp3PL._AC_UL200_SR200,200_.jpg","
            Evvie Drake Starts Over: A Novel
        ",$16.36
Mat Best,"https://images-na.ssl-images-amazon.com/images/I/914LobJKVoL._AC_UL200_SR200,200_.jpg","
            Thank You for My Service
        ",$19.60
,"https://images-na.ssl-images-amazon.com/images/I/71B2C2AXFhL._AC_UL200_SR200,200_.jpg","
            Justice on Trial: The Kavanaugh Confirmation and the Future of the Supreme Court
        ",$19.60
Nora Roberts,"https://images-na.ssl-images-amazon.com/images/I/81YKP3VpxAL._AC_UL200_SR200,200_.jpg","
            Under Currents: A Novel
        ",$17.39
Dav Pilkey,"https://images-na.ssl-images-amazon.com/images/I/71LVKXutJmL._AC_UL200_SR200,200_.jpg","
            Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7)
        ",$9.09
,"https://images-na.ssl-images-amazon.com/images/I/61fls%2BtvqKL._AC_UL200_SR200,200_.jpg","
            If These Walls Could Talk: Boston Red Sox
        ",$14.26
Chandler Baker,"https://images-na.ssl-images-amazon.com/images/I/813eu-JNTvL._AC_UL200_SR200,200_.jpg","
            Whisper Network: A Novel
        ",$16.19
Daniel Silva,"https://images-na.ssl-images-amazon.com/images/I/81PtjnVdBeL._AC_UL200_SR200,200_.jpg","
            The New Girl: A Novel (Gabriel Allon)
        ",$17.43
Joy-Ann Reid,"https://images-na.ssl-images-amazon.com/images/I/81wiPsfPVvL._AC_UL200_SR200,200_.jpg","
            The Man Who Sold America: Trump and the Unraveling of the American Story
        ",$18.98
Andre Iguodala,"https://images-na.ssl-images-amazon.com/images/I/91sGMiXD7aL._AC_UL200_SR200,200_.jpg","
            The Sixth Man: A Memoir
        ",$17.71
Jennifer Weiner,"https://images-na.ssl-images-amazon.com/images/I/715SFAOmu6L._AC_UL200_SR200,200_.jpg","
            Mrs. Everything: A Novel
        ",$16.80
Dan Schilling,"https://images-na.ssl-images-amazon.com/images/I/81RHk1LrwoL._AC_UL200_SR200,200_.jpg","
            Alone at Dawn: Medal of Honor Recipient John Chapman and the Untold Story of the World's Deadliest Special Operations Force
        ",$19.60
Steven M. Gillon,"https://images-na.ssl-images-amazon.com/images/I/71ZFa-NlyUL._AC_UL200_SR200,200_.jpg","
            America's Reluctant Prince: The Life of John F. Kennedy Jr.
        ",$19.60
Tui T. Sutherland,"https://images-na.ssl-images-amazon.com/images/I/71rDHoash7L._AC_UL200_SR200,200_.jpg","
            The Poison Jungle (Wings of Fire, Book 13)
        ",$11.89
Taffy Brodesser-Akner,"https://images-na.ssl-images-amazon.com/images/I/91jyBj45vNL._AC_UL200_SR200,200_.jpg","
            Fleishman Is in Trouble: A Novel
        ",$15.53
Aaron Blabey,"https://images-na.ssl-images-amazon.com/images/I/61p1x5jD%2BOL._AC_UL200_SR200,200_.jpg","
            The Bad Guys in The Big Bad Wolf (The Bad Guys #9)
        ",$4.77
Andrew Rea,"https://images-na.ssl-images-amazon.com/images/I/81Ife8WSSaL._AC_UL200_SR200,200_.jpg","
            Binging with Babish: 100 Recipes Recreated from Your Favorite Movies and TV Shows
        ",$18.00
Brad Thor,"https://images-na.ssl-images-amazon.com/images/I/71cQ75tt0LL._AC_UL200_SR200,200_.jpg","
            Backlash: A Thriller (19) (The Scot Harvath Series)
        ",$16.79
Claire Lombardo,"https://images-na.ssl-images-amazon.com/images/I/81GO37tskjL._AC_UL200_SR200,200_.jpg","
            The Most Fun We Ever Had: A Novel
        ",$17.37
Kami Garcia,"https://images-na.ssl-images-amazon.com/images/I/81P3u1nB1XL._AC_UL200_SR200,200_.jpg","
            Teen Titans: Raven
        ",$12.48
Bruce Holsinger,"https://images-na.ssl-images-amazon.com/images/I/91E%2B5j1dYcL._AC_UL200_SR200,200_.jpg","
            The Gifted School: A Novel
        ",$15.60
Clint McElroy,"https://images-na.ssl-images-amazon.com/images/I/91usz7UBBwL._AC_UL200_SR200,200_.jpg","
            The Adventure Zone: Murder on the Rockport Limited!
        ",$11.79
